"","Variable","Mean","SD"
"1","adultom",NA,0.267875280201516
"2","bin_agua",NA,0.45286898852388
"3","bin_celular",NA,0.345928890600337
"4","bin_conex_inte",NA,0.463905725145945
"5","bin_electricidad",NA,0.123987380962896
"6","bin_sex",NA,0.434123633239237
"7","bin_telefono",NA,0.455469492007977
"8","bin_tvpaga",NA,0.500002560070248
"9","coche",NA,0.49937334626117
"10","ent_1",NA,0.180615037505837
"11","ent_10",NA,0.166025762826058
"12","ent_11",NA,0.183114666750074
"13","ent_12",NA,0.149881384140391
"14","ent_13",NA,0.159662201896195
"15","ent_14",NA,0.167877733030235
"16","ent_15",NA,0.195625369919259
"17","ent_16",NA,0.160938606117397
"18","ent_17",NA,0.170370649491256
"19","ent_18",NA,0.16037271321851
"20","ent_19",NA,0.199971592356508
"21","ent_2",NA,0.221644317095671
"22","ent_20",NA,0.161689694478119
"23","ent_21",NA,0.169928514651468
"24","ent_22",NA,0.173732468535069
"25","ent_23",NA,0.158422239126702
"26","ent_24",NA,0.154143120519966
"27","ent_25",NA,0.20095874196274
"28","ent_26",NA,0.175150843612928
"29","ent_27",NA,0.156493261623809
"30","ent_28",NA,0.160041578601339
"31","ent_29",NA,0.153994918664132
"32","ent_3",NA,0.177148632607877
"33","ent_30",NA,0.157364549788335
"34","ent_31",NA,0.179204362443982
"35","ent_32",NA,0.159472136569135
"36","ent_4",NA,0.156784287794648
"37","ent_5",NA,0.210043880364957
"38","ent_6",NA,0.19089110720307
"39","ent_7",NA,0.16037271321851
"40","ent_8",NA,0.203706784974387
"41","ent_9",NA,0.155567696195176
"42","folio",NA,NA
"43","ginc_1_2",NA,0.0262213585406135
"44","ginc_3",NA,0.0878402086309485
"45","ginc_4",NA,0.134396042188559
"46","ginc_5",NA,0.249236305660853
"47","ginc_6",NA,0.436653281442144
"48","ginc_7",NA,0.476916517725931
"49","hablaind",NA,0.273123649403798
"50","inst_IMSS",NA,0.486743519706642
"51","inst_IMSS Prospera",NA,0.0838933637238825
"52","inst_ISSSTE",NA,0.106860166301909
"53","inst_Otro",NA,0.492249926093434
"54","inst_PEMEX",NA,0.0892629114982863
"55","kinder",NA,0.371397540959555
"56","licenciatura",NA,0.289393465768674
"57","no_edu",NA,0.242608447953311
"58","piso_cemento",NA,0.497691413017087
"59","piso_otro",NA,0.493811116856413
"60","piso_tierra",NA,0.171601773091805
"61","postgrado",NA,0.133186083775245
"62","preparatoria",NA,0.341790726270635
"63","primaria",NA,0.412172232532708
"64","propiedad",NA,0.446703505801407
"65","prospera",NA,0.408755442992919
"66","secundaria",NA,0.462343081913955
"67","share_h",NA,0.230225387247486
"68","share_ocup",NA,0.278033305362455
"69","tam_grande",NA,0.485123075376107
"70","tam_med",NA,0.335286864821551
"71","tam_medpeq",NA,0.341465831623074
"72","tam_peq",NA,0.479191231491358
"73","y",NA,0.794590912038479
